State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Texas,El Paso County,48141,800647,2,0.01,14,IN,0.075,79,8.5,25,IN
Texas,Freestone County,48161,19816,ND,ND,ND,ND,ND,ND,ND,ND,6
Texas,Galveston County,48167,291309,ND,ND,3,28,0.079,45,7.6,19,5
Texas,Gregg County,48183,121730,ND,ND,3,18,0.067,ND,IN,IN,46
Texas,Harris County,48201,4092459,2,ND,17,56,0.081,63,10.7,27,14
Texas,Harrison County,48203,65631,ND,ND,2,16,0.062,ND,IN,IN,54
Texas,Hidalgo County,48215,774769,ND,ND,ND,ND,0.053,50,10.7,30,ND
Texas,Hood County,48221,51182,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Texas,Howard County,48227,35012,ND,ND,ND,ND,ND,ND,ND,ND,80
Texas,Hunt County,48231,86129,ND,ND,4,24,0.061,ND,ND,ND,ND
Texas,Hutchinson County,48233,22150,ND,ND,ND,ND,ND,ND,ND,ND,168
Texas,Jeff Davis County,48243,2342,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Jefferson County,48245,252273,ND,ND,6,31,0.074,ND,8.5,19,37
Texas,Johnson County,48251,150934,ND,ND,ND,ND,0.073,ND,ND,ND,ND
Texas,Kaufman County,48257,103350,ND,0.23,4,28,0.063,ND,IN,IN,7
Texas,Kleberg County,48273,32061,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Lubbock County,48303,278831,ND,ND,ND,ND,ND,ND,6.4,14,ND
Texas,McLennan County,48309,234906,1,ND,ND,ND,0.063,ND,IN,IN,6
Texas,Marion County,48315,10546,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Maverick County,48323,54258,ND,ND,ND,ND,ND,ND,7.5,21,ND
Texas,Milam County,48331,24757,ND,ND,ND,ND,ND,ND,ND,ND,2
Texas,Montgomery County,48339,455746,ND,ND,2,19,0.074,ND,IN,IN,ND
Texas,Navarro County,48349,47735,ND,ND,IN,IN,0.062,ND,ND,ND,37
Texas,Nueces County,48355,340223,ND,ND,ND,ND,0.062,44,8.7,21,9
Texas,Orange County,48361,81837,ND,ND,3,IN,0.064,ND,8.2,16,62
Texas,Parker County,48367,116927,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Texas,Polk County,48373,45413,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Texas,Potter County,48375,121073,ND,ND,ND,ND,ND,ND,5.2,13,8
Texas,Randall County,48381,120725,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Texas,Robertson County,48395,16622,ND,ND,ND,ND,ND,ND,ND,ND,8
Texas,Rockwall County,48397,78337,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Texas,Rusk County,48401,53330,ND,ND,ND,ND,ND,ND,ND,ND,115
Texas,Smith County,48423,209714,ND,ND,2,14,0.067,ND,ND,ND,ND
Texas,Tarrant County,48439,1809034,1,ND,12,46,0.075,ND,8.7,19,ND
Texas,Titus County,48449,32334,ND,ND,ND,ND,ND,ND,ND,ND,31
Texas,Travis County,48453,1024266,2,ND,12,32,0.065,38,9.5,21,2
Texas,Victoria County,48469,86793,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Texas,Webb County,48479,250304,3,ND,ND,ND,0.059,48,10.7,29,ND
Utah,Box Elder County,49003,49975,ND,ND,0,IN,0.062,ND,IN,IN,ND
Utah,Cache County,49005,112656,ND,ND,4,33,0.062,67,6.2,35,ND
Utah,Carbon County,49007,21403,ND,ND,2,16,0.068,ND,ND,ND,ND
Utah,Davis County,49011,306479,ND,ND,12,46,0.073,IN,5.7,19,ND
Utah,Duchesne County,49013,18607,ND,ND,5,19,0.087,ND,6.1,22,ND
Utah,Garfield County,49017,5172,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Utah,Iron County,49021,46163,ND,ND,6,IN,0.06,ND,4.3,11,ND
Utah,Salt Lake County,49035,1029655,1,ND,18,55,0.073,67,9,31,13
Utah,San Juan County,49037,14746,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Utah,Tooele County,49045,58218,ND,ND,3,24,0.065,ND,5.3,23,ND
Utah,Uintah County,49047,32588,IN,ND,4,28,0.098,18,5.1,16,IN
Utah,Utah County,49049,516564,1,ND,9,42,0.066,53,6.1,21,ND
Utah,Washington County,49053,138115,ND,ND,3,26,0.064,ND,IN,IN,ND
Utah,Weber County,49057,231236,1,ND,11,IN,0.064,50,IN,IN,ND
Vermont,Addison County,50001,36821,ND,ND,ND,ND,ND,ND,IN,IN,ND
Vermont,Bennington County,50003,37125,ND,ND,ND,ND,0.056,ND,5.6,14,ND
Vermont,Chittenden County,50007,156545,1,ND,6,30,0.054,14,6.6,16,1
Vermont,Rutland County,50021,61642,1,ND,7,35,0.052,34,7.5,20,3
Vermont,Washington County,50023,59534,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Albemarle County,51003,98970,ND,ND,ND,ND,0.057,ND,6.4,13,ND
Virginia,Arlington County,51013,207627,1,ND,10,45,0.068,ND,8,19,ND
Virginia,Botetourt County,51023,33148,ND,ND,ND,ND,ND,ND,ND,ND,36
Virginia,Caroline County,51033,28545,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Virginia,Carroll County,51035,30042,ND,ND,ND,ND,ND,18,ND,ND,ND
Virginia,Charles City County,51036,7256,ND,ND,5,IN,0.061,ND,6.7,14,14
Virginia,Chesterfield County,51041,316236,ND,ND,ND,ND,0.059,ND,6.7,12,ND
Virginia,Fairfax County,51059,1081726,1,ND,16,48,0.07,19,9.1,25,4
Virginia,Fauquier County,51061,65203,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Virginia,Frederick County,51069,78305,ND,ND,ND,ND,0.055,ND,7.6,23,ND
Virginia,Giles County,51071,17286,ND,ND,ND,ND,0.06,ND,ND,ND,80
Virginia,Hanover County,51085,99863,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Virginia,Henrico County,51087,306935,1,ND,6,IN,0.064,27,6.9,14,3
Virginia,Loudoun County,51107,312311,ND,ND,7,38,0.06,ND,7.2,20,ND
Virginia,Madison County,51113,13308,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Virginia,Montgomery County,51121,94392,ND,0,ND,ND,ND,ND,ND,ND,ND
Virginia,Page County,51139,24042,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Prince Edward County,51147,23368,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Virginia,Prince William County,51153,402002,ND,ND,4,24,0.06,ND,ND,ND,ND
Virginia,Roanoke County,51161,92376,1,ND,5,32,0.059,ND,6.3,13,3
Virginia,Rockbridge County,51163,22307,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Virginia,Rockingham County,51165,76314,ND,ND,9,38,0.055,ND,7.1,18,2
Virginia,Stafford County,51179,128961,ND,ND,ND,ND,0.059,16,ND,ND,ND
Virginia,Wythe County,51197,29235,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Virginia,Alexandria city,51510,139966,ND,ND,ND,ND,ND,13,IN,IN,ND
Virginia,Bristol city,51520,17835,ND,ND,ND,ND,ND,ND,6.4,13,ND
Virginia,Chesapeake city,51550,222209,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Covington city,51580,5961,ND,ND,ND,ND,ND,ND,ND,ND,42
Virginia,Hampton city,51650,137436,1,ND,3,24,0.061,18,6.3,14,3
Virginia,Hopewell city,51670,22591,ND,ND,ND,ND,ND,17,ND,ND,ND
Virginia,Lynchburg city,51680,75568,ND,ND,ND,ND,ND,ND,6.2,12,ND
Virginia,Newport News city,51700,180719,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Norfolk city,51710,242803,1,ND,8,40,ND,20,7.1,17,2
Virginia,Richmond city,51760,204214,1,ND,12,43,ND,ND,8.4,20,ND
Virginia,Roanoke city,51770,97032,ND,0.01,ND,ND,ND,ND,IN,IN,ND
Virginia,Salem city,51775,24802,ND,ND,ND,ND,ND,ND,6.6,13,ND
Virginia,Suffolk city,51800,84585,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Virginia,Virginia Beach city,51810,437994,ND,ND,ND,ND,ND,ND,6.8,18,ND
Virginia,Winchester city,51840,26203,ND,ND,ND,ND,ND,25,ND,ND,ND
Washington,Adams County,53001,18728,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Asotin County,53003,21623,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Benton County,53005,175177,ND,ND,ND,ND,0.061,65,IN,IN,ND
Washington,Chelan County,53007,72453,ND,ND,ND,ND,ND,ND,IN,IN,1
Washington,Clallam County,53009,71404,0,ND,ND,ND,0.051,ND,IN,IN,1
Washington,Clark County,53011,425363,ND,ND,ND,ND,0.058,ND,7,25,ND
Washington,Cowlitz County,53015,102410,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Grant County,53025,89120,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Grays Harbor County,53027,72797,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Jefferson County,53031,29872,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,King County,53033,1931249,1,ND,18,57,0.055,22,8.3,20,6
Washington,Kitsap County,53035,251133,ND,ND,ND,ND,ND,ND,4.9,12,ND
Washington,Kittitas County,53037,40915,ND,ND,ND,ND,ND,ND,7,19,ND
Washington,Lewis County,53041,75455,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Mason County,53045,60699,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Okanogan County,53047,41120,ND,ND,ND,ND,ND,ND,7.4,21,ND
Washington,Pierce County,53053,795225,ND,ND,15,40,0.056,ND,8.1,28,ND
Washington,Skagit County,53057,116901,ND,ND,ND,ND,0.04,ND,5.5,12,3
Washington,Skamania County,53059,11066,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Snohomish County,53061,713335,ND,ND,ND,ND,ND,ND,8.5,28,ND
Washington,Spokane County,53063,471221,ND,ND,ND,ND,0.057,87,7.5,25,ND
Washington,Stevens County,53065,43531,ND,ND,ND,ND,ND,107,IN,IN,ND
Washington,Thurston County,53067,252264,1,ND,ND,ND,0.052,ND,IN,IN,ND
Washington,Walla Walla County,53071,58781,ND,ND,ND,ND,ND,79,IN,IN,ND
Washington,Whatcom County,53073,201140,ND,ND,ND,ND,0.044,ND,4.6,12,105
Washington,Whitman County,53075,44776,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Yakima County,53077,243231,ND,ND,ND,ND,ND,60,9.8,34,ND
West Virginia,Berkeley County,54003,104169,ND,ND,ND,ND,0.055,ND,8.9,25,ND
West Virginia,Brooke County,54009,24069,ND,ND,ND,ND,ND,49,9.5,21,75
West Virginia,Cabell County,54011,96319,ND,ND,ND,ND,0.058,ND,7,13,ND
West Virginia,Gilmer County,54021,8693,ND,ND,ND,ND,0.054,ND,ND,ND,ND
West Virginia,Greenbrier County,54025,35480,ND,ND,ND,ND,0.061,ND,ND,ND,ND
West Virginia,Hancock County,54029,30676,ND,ND,ND,ND,0.059,32,IN,IN,16
West Virginia,Harrison County,54033,69099,ND,ND,ND,ND,ND,ND,7.3,14,ND
West Virginia,Kanawha County,54039,193063,1,ND,ND,ND,0.065,ND,7.5,14,6
West Virginia,Marion County,54049,56418,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Marshall County,54051,33107,ND,ND,ND,ND,ND,ND,9.2,22,9
West Virginia,Mason County,54053,27324,ND,ND,ND,ND,ND,ND,ND,ND,61
West Virginia,Mercer County,54055,62264,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Mineral County,54057,28212,ND,ND,ND,ND,ND,ND,ND,ND,135
West Virginia,Monongalia County,54061,96189,ND,ND,ND,ND,0.06,ND,7.2,15,14
West Virginia,Ohio County,54069,44443,ND,ND,ND,ND,0.06,ND,8.1,18,ND
West Virginia,Raleigh County,54081,78859,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Summers County,54089,13927,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Tucker County,54093,7141,ND,ND,ND,ND,0.056,ND,ND,ND,ND
West Virginia,Wood County,54107,86956,ND,ND,ND,ND,0.061,ND,IN,IN,22
Wisconsin,Ashland County,55003,16157,ND,ND,ND,ND,0.057,ND,5,17,ND
Wisconsin,Brown County,55009,248007,ND,ND,ND,ND,0.058,ND,7.3,19,5
Wisconsin,Columbia County,55021,56833,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Wisconsin,Dane County,55025,488073,ND,ND,ND,ND,0.059,35,8,21,2
Wisconsin,Dodge County,55027,88759,0,ND,ND,ND,0.062,34,IN,IN,1
Wisconsin,Door County,55029,27785,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Wisconsin,Douglas County,55031,44159,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Eau Claire County,55035,98736,ND,ND,ND,ND,0.056,41,7.7,22,ND
Wisconsin,Fond du Lac County,55039,101633,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Wisconsin,Forest County,55041,9304,ND,ND,ND,ND,0.058,ND,5.4,19,2
Wisconsin,Grant County,55043,51208,ND,ND,ND,ND,ND,ND,8.4,25,ND
Wisconsin,Jefferson County,55055,83686,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Wisconsin,Kenosha County,55059,166426,ND,ND,ND,ND,0.067,ND,7.4,21,ND
Wisconsin,Kewaunee County,55061,20574,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Wisconsin,La Crosse County,55063,114638,ND,ND,ND,ND,0.058,ND,7.6,22,ND
Wisconsin,Manitowoc County,55071,81442,ND,ND,IN,IN,0.066,ND,IN,IN,ND
Wisconsin,Marathon County,55073,134063,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Wisconsin,Milwaukee County,55079,947735,1,ND,13,47,0.064,58,8.7,22,4
Wisconsin,Oneida County,55085,35998,ND,ND,ND,ND,ND,ND,ND,ND,30
Wisconsin,Outagamie County,55087,176695,ND,ND,ND,ND,0.057,ND,8,26,32
Wisconsin,Ozaukee County,55089,86395,ND,ND,ND,ND,0.068,ND,6.9,20,ND
Wisconsin,Racine County,55101,195408,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Wisconsin,Rock County,55105,160331,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Wisconsin,St. Croix County,55109,84345,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Sauk County,55111,61976,ND,ND,ND,ND,0.061,35,7.3,21,ND
Wisconsin,Sheboygan County,55117,115507,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Wisconsin,Taylor County,55119,20689,ND,ND,ND,ND,0.058,ND,6.4,20,ND
Wisconsin,Vilas County,55125,21430,ND,ND,ND,ND,0.057,ND,4.9,17,ND
Wisconsin,Walworth County,55127,102228,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Wisconsin,Waukesha County,55133,389891,ND,ND,ND,ND,0.058,40,9.3,24,ND
Wisconsin,Waupaca County,55135,52410,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Winnebago County,55139,166994,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Wood County,55141,74749,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wyoming,Albany County,56001,36299,ND,ND,ND,ND,0.065,82,3.7,10,ND
Wyoming,Big Horn County,56003,11668,ND,ND,ND,ND,0.057,ND,IN,IN,ND
Wyoming,Campbell County,56005,46133,ND,ND,4,31,0.055,115,1.9,7,ND
Wyoming,Carbon County,56007,15885,ND,ND,3,31,0.066,ND,IN,IN,28
Wyoming,Converse County,56009,13833,0,ND,3,29,0.059,147,2.2,7,13
Wyoming,Fremont County,56013,40123,ND,ND,1,4,0.065,34,2.5,6,64
Wyoming,Goshen County,56015,13249,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wyoming,Johnson County,56019,8569,ND,ND,1,IN,0.06,36,ND,ND,ND
Wyoming,Laramie County,56021,91738,0,ND,3,31,0.06,83,3.7,10,6
Wyoming,Lincoln County,56023,18106,ND,ND,ND,ND,ND,50,ND,ND,ND
Wyoming,Natrona County,56025,75450,ND,ND,4,33,0.06,22,3.8,9,21
Wyoming,Park County,56029,28205,ND,ND,IN,IN,0.057,37,2.9,8,IN
Wyoming,Platte County,56031,8667,ND,ND,ND,ND,ND,111,ND,ND,ND
Wyoming,Sheridan County,56033,29116,ND,ND,ND,ND,0.06,40,6,18,ND
Wyoming,Sublette County,56035,10247,ND,ND,2,21,0.085,18,IN,IN,ND
Wyoming,Sweetwater County,56037,43806,ND,ND,3,38,0.065,87,4.4,15,13
Wyoming,Teton County,56039,21294,0,ND,IN,IN,0.061,40,3.6,12,IN
Wyoming,Uinta County,56041,21118,ND,ND,2,13,0.067,23,ND,ND,ND
Wyoming,Weston County,56045,7208,ND,ND,ND,ND,0.059,ND,IN,IN,4
Puerto Rico,"Adjuntas Municipio, Puerto Rico",72001,19483,ND,ND,ND,ND,ND,ND,5.5,16,ND
Puerto Rico,"Arecibo Municipio, Puerto Rico",72013,96440,ND,0.07,ND,ND,ND,ND,ND,ND,ND
Puerto Rico,"Bayamón Municipio, Puerto Rico",72021,208116,1,ND,ND,ND,0.032,ND,7,19,IN
Puerto Rico,"Caguas Municipio, Puerto Rico",72025,142893,3,ND,IN,IN,ND,ND,7.2,20,ND
Puerto Rico,"Cataño Municipio, Puerto Rico",72033,28140,ND,ND,ND,ND,0.034,91,ND,ND,IN
Puerto Rico,"Fajardo Municipio, Puerto Rico",72053,36993,ND,ND,ND,ND,ND,IN,6.8,20,ND
Puerto Rico,"Guayama Municipio, Puerto Rico",72057,45362,ND,ND,ND,ND,ND,ND,IN,IN,IN
Puerto Rico,"Guayanilla Municipio, Puerto Rico",72059,21581,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Guaynabo Municipio, Puerto Rico",72061,97924,2,ND,14,83,ND,70,7.5,19,ND
Puerto Rico,"Humacao Municipio, Puerto Rico",72069,58466,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Lares Municipio, Puerto Rico",72081,30753,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Mayagüez Municipio, Puerto Rico",72097,89080,ND,ND,ND,ND,0.014,ND,IN,IN,ND
Puerto Rico,"Ponce Municipio, Puerto Rico",72113,166327,1,ND,ND,ND,ND,94,6.3,17,ND
Puerto Rico,"San Juan Municipio, Puerto Rico",72127,395326,3,ND,ND,ND,ND,ND,IN,IN,ND
